name,ingredients,type,highlight,difficulty,img
Fideos con salsa de tomate,"Fideos, Salsa de tomate",Pasta,None,1,
Fideos con salsa bolognesa de soja,"Fideos, Salsa de tomate, Soja texturizada mediana",Pasta,None,1,
Fideos con salsa bolognesa de lentejas y hongos,"Fideos, Salsa de tomate, Lentejas, Hongos",Pasta,None,2,
Fideos con salsa de castañas,"Fideos, Castañas, Leche vegetal",Pasta,None,2,
Fideos con salteado de verduras,"Fideos, Verduras para saltear",Pasta,Verduras,2,
Mac n' cheese,"Fideos, Castañas, Leche vegetal, Papas, Zanahorias",Pasta,None,3,
Pasta fresca con salsa de tomate,"Pasta fresca, Salsa de tomate",Pasta,None,1,
Ñoquis con salsa de tomate,"Ñoquis, Salsa de tomate",Pasta,None,1,
Curry de lentejas,"Lentejas, Arroz, Leche vegetal, Cebolla",Arroz,None,2,
Arroz con salteado de verduras,"Arroz, Verduras para saltear",Arroz,Verduras,2,
Guiso de lentejas,"Lentejas, Salsa de tomate, Papas, Zanahorias, Caldo",Elaborado,None,4,
Ensalada de arroz,"Arroz, Garbanzos, Tomate",Arroz,None,1,
Medallones con puré de papas,"Medallones, Papas, Leche vegetal",Medallones,Papas,2,
Medallones con puré de zapallo,"Medallones, Zapallo",Medallones,Zapallo,1,
Medallones con verduras al horno,"Medallones, Verduras para hornear",Medallones,Verduras,2,
Medallones con papas fritas,"Medallones, Papas fritas",Medallones,Papas,1,
Medallones con ensalada de tomate,"Medallones, Tomates",Medallones,Tomates,2,
Medallones con ensalada de papa,"Medallones, Papas, Cebolla",Medallones,Papas,2,
Milanesas con puré de papas,"Milanesas, Papas, Leche vegetal",Milanesas,Papas,2,
Milanesas con puré de zapallo,"Milanesas, Zapallo",Milanesas,Zapallo,1,
Milanesas con verduras al horno,"Milanesas,  Verduras para hornear",Milanesas,Verduras,2,
Milanesas con papas fritas,"Milanesas, Papas fritas",Milanesas,Papas,1,
Milanesas con ensalada de tomate,"Milanesas, Tomates",Milanesas,Tomates,2,
Milanesas con ensalada de papa,"Milanesas, Papas, Cebolla",Milanesas,Papas,2,
Tarta de espinaca,"Tapa para tarta, Espinaca, Morrón, Cebolla, Ajo",Elaborado,Masa,3,
Empanadas de soja,"Tapa para empanadas, Soja texturizada mediana, Morrón, Cebolla, Ajo, Aceitunas",Elaborado,Masa,3,
Pastel de papas,"Lentejas, Papas, Leche vegetal, Soja texturizada mediana, Morrón, Cebolla, Ajo, Aceitunas",Elaborado,Papas,4,
Zapallitos rellenos con soja,"Zapallitos, Soja texturizada mediana, Morrón, Cebolla, Ajo, Aceitunas",Elaborado,None,4,
Tomates rellenos con arroz,"Tomates, Arroz, Aceitunas, Mayonesa",Arroz,None,3,
Botes de berenjena rellenos con soja,"Berenjenas, Soja texturizada mediana, Morrón, Cebolla, Ajo, Aceitunas",Elaborado,None,4,
Tacos,"Tortillas para tacos, Soja texturizada mediana, Morrón, Cebolla, Ajo, Aceitunas, Choclo, Palta, Tomate, Cebolla morada, Nachos",Elaborado,None,3,
